subject,block,vowel_space,blocked,trial,token,vowel,talker,exemplar,istarget,rt
0,1,training,training,1,1,AA,A,1,0,nan
0,1,training,training,1,2,EH,A,3,0,nan
0,1,training,training,1,3,AA,A,2,0,nan
0,1,training,training,1,4,IH,A,1,1,nan
0,1,training,training,1,5,OO,A,3,0,nan
0,1,training,training,1,6,AA,A,2,0,nan
0,1,training,training,1,7,IH,A,1,1,0.22641
0,1,training,training,1,8,AA,A,3,0,nan
0,1,training,training,1,9,AA,A,2,0,nan
0,1,training,training,1,10,AA,A,1,0,nan
0,1,training,training,1,11,IH,A,3,1,0.22029
0,1,training,training,1,12,AA,A,2,0,nan
0,1,training,training,1,13,OO,A,2,0,nan
0,1,training,training,1,14,EH,A,1,0,0.29487
0,1,training,training,1,15,IH,A,3,1,0.23998
0,1,training,training,1,16,OO,A,1,0,nan
0,1,training,training,2,1,IH,X,2,0,nan
0,1,training,training,2,2,AA,X,3,0,nan
0,1,training,training,2,3,IH,X,1,0,nan
0,1,training,training,2,4,IH,X,2,0,nan
0,1,training,training,2,5,OO,X,3,1,0.43529
0,1,training,training,2,6,AA,X,3,0,nan
0,1,training,training,2,7,AA,X,1,0,nan
0,1,training,training,2,8,OO,X,2,1,0.31258
0,1,training,training,2,9,AA,X,2,0,nan
0,1,training,training,2,10,AA,X,3,0,nan
0,1,training,training,2,11,OO,X,1,1,0.35053
0,1,training,training,2,12,EH,X,3,0,nan
0,1,training,training,2,13,IH,X,2,0,0.38601
0,1,training,training,2,14,AA,X,1,0,nan
0,1,training,training,2,15,OO,X,2,1,0.37829
0,1,training,training,2,16,AA,X,3,0,nan
